LineId,Date,Time,FilterType,Content,EventId,EventTemplate,ParameterList
144,2020-01-30,"10:12:29,182",fail2ban.filter,[1066]: INFO    [sshd] Found 61.189.243.28,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '61.189.243.28']"
145,2020-01-30,"10:52:22,419",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.82.162,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.82.162']"
146,2020-01-30,"10:52:22,437",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.82.162,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.82.162']"
147,2020-01-30,"10:52:24,938",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.82.162,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.82.162']"
148,2020-01-30,"11:21:18,896",fail2ban.filter,[1066]: INFO    [sshd] Found 181.48.134.65,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '181.48.134.65']"
149,2020-01-30,"11:21:18,914",fail2ban.filter,[1066]: INFO    [sshd] Found 181.48.134.65,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '181.48.134.65']"
150,2020-01-30,"11:21:21,403",fail2ban.filter,[1066]: INFO    [sshd] Found 181.48.134.65,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '181.48.134.65']"
151,2020-01-30,"11:22:12,535",fail2ban.filter,[1066]: INFO    [sshd] Found 51.75.170.116,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.75.170.116']"
152,2020-01-30,"11:22:12,540",fail2ban.filter,[1066]: INFO    [sshd] Found 51.75.170.116,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.75.170.116']"
153,2020-01-30,"11:22:14,457",fail2ban.filter,[1066]: INFO    [sshd] Found 51.75.170.116,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.75.170.116']"
