LineId,Host,DateTime,TimeZone,Connection,Type,Status,Port,Unknown,Content,EventId,EventTemplate,ParameterList
28,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.mmenu.oncanvas.js?ver=5.2.0 HTTP/1.1,200,5008,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
29,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.mmenu.autoheight.js?ver=5.2.0 HTTP/1.1,200,1267,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
30,128.131.168.117,[05/Feb/2020:12:49:12,+0100],GET,wp-content/themes/olsen-light/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1,200,77423,http://juang.id/wp-content/themes/olsen-light/css/font-awesome.css?ver=4.7.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
31,128.131.168.117,[05/Feb/2020:12:49:12,+0100],GET,favicon.ico HTTP/1.1,404,486,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
32,128.131.168.117,[05/Feb/2020:12:49:16,+0100],GET, HTTP/1.1,200,6521,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
33,178.128.17.78,[05/Feb/2020:12:53:00,+0100],GET,wp-login.php HTTP/1.1,200,1615,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
34,178.128.17.78,[05/Feb/2020:12:53:01,+0100],POST,wp-login.php HTTP/1.1,200,1989,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
35,178.128.17.78,[05/Feb/2020:12:53:01,+0100],POST,xmlrpc.php HTTP/1.1,200,420,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
36,148.66.133.55,[05/Feb/2020:12:55:32,+0100],GET,wp-login.php HTTP/1.1,200,1615,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
37,148.66.133.55,[05/Feb/2020:12:55:32,+0100],POST,wp-login.php HTTP/1.1,200,1989,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
38,148.66.133.55,[05/Feb/2020:12:55:33,+0100],POST,xmlrpc.php HTTP/1.1,200,420,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
39,5.39.74.233,[05/Feb/2020:12:57:49,+0100],GET,wp-login.php HTTP/1.1,200,1608,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
40,128.131.169.52,[05/Feb/2020:12:57:49,+0100],POST,wp-cron.php?doing_wp_cron=1580903869.3653039932250976562500 HTTP/1.1,200,166,-,WordPress/5.2.5; http://juang.id,ee44e5e2,WordPress/<*>.<*>.<*>; <*>,"['5', '2.5', 'http://juang.id']"
41,5.39.74.233,[05/Feb/2020:12:57:49,+0100],POST,wp-login.php HTTP/1.1,200,1978,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
42,5.39.74.233,[05/Feb/2020:12:57:49,+0100],POST,xmlrpc.php HTTP/1.1,200,420,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,8004b04d,Mozilla/<*>.<*> <*> <*> <*> <*> rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>,"['5.0', '(X11;', 'Ubuntu; Linux x86_64;', '62.0', '20100101', '62.0']"
43,128.131.168.117,[05/Feb/2020:13:00:18,+0100],GET, HTTP/1.1,200,20539,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
44,128.131.168.117,[05/Feb/2020:13:00:19,+0100],GET,wp-includes/js/wp-emoji-release.min.js?ver=4.8 HTTP/1.1,200,4650,http://cityspin.net/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
45,128.131.168.117,[05/Feb/2020:13:00:22,+0100],GET,news HTTP/1.1,404,491,http://cityspin.net/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
46,128.131.168.117,[05/Feb/2020:13:00:22,+0100],GET,favicon.ico HTTP/1.1,404,490,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
47,128.131.168.117,[05/Feb/2020:13:00:27,+0100],GET,deliverables HTTP/1.1,404,490,http://cityspin.net/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
48,128.131.168.117,[05/Feb/2020:13:00:39,+0100],GET, HTTP/1.1,200,6521,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
49,128.131.168.117,[05/Feb/2020:13:00:41,+0100],GET,favicon.ico HTTP/1.1,404,486,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
50,128.131.168.117,[05/Feb/2020:13:00:41,+0100],GET,activities/ HTTP/1.1,404,487,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
51,128.131.168.117,[05/Feb/2020:13:00:45,+0100],GET,research-and-publications/ HTTP/1.1,404,486,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
52,128.131.168.117,[05/Feb/2020:13:01:55,+0100],GET, HTTP/1.1,200,6521,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
53,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/plugins/papercite/papercite.css?ver=5.2.5 HTTP/1.1,200,692,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
54,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-includes/css/dist/block-library/style.min.css?ver=5.2.5 HTTP/1.1,200,5104,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
55,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/themes/olsen-light/css/base.css?ver=1.3.0 HTTP/1.1,200,3135,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
56,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/themes/olsen-light/common/css/global.css?ver=1.3.0 HTTP/1.1,200,901,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
57,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/themes/olsen-light/css/magnific.css?ver=1.0.0 HTTP/1.1,200,2183,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
58,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/themes/olsen-light/css/font-awesome.css?ver=4.7.0 HTTP/1.1,200,7777,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
59,128.131.168.117,[05/Feb/2020:13:01:56,+0100],GET,wp-content/themes/olsen-light/css/slick.css?ver=1.5.7 HTTP/1.1,200,868,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
